RF_Power_W,Process_Time_Min,RTA_Temperature_C,Has_RTA,operation_voltage_v,leakage_current_a,on_off_ratio,hrs_mechanism,lrs_mechanism,iv_curve_count,forming_voltage_v,forming_curve_count,endurance_cycles,endurance_file_count,condition_id
50.0,30.0,25.0,0,0.135,0.000174337,4.645628741214908,Schottky Emission,Ohmic,4.0,0.0999999999999999,4,,,50W_30min_NoRTA25C
50.0,30.0,300.0,1,0.15,4.39083e-05,22.01269463859908,Schottky Emission,Ohmic,3.0,0.5499999999999999,4,,,50W_30min_RTA300C
50.0,30.0,400.0,1,0.12,0.0003671305,7.059353565250295,Ohmic,Ohmic,4.0,0.1,3,,,50W_30min_RTA400C
50.0,60.0,25.0,0,0.155,0.0003288595,1.7054738561465776,Ohmic,Ohmic,8.0,0.0999999999999999,6,51.0,2.0,50W_60min_NoRTA25C
50.0,60.0,300.0,1,0.16999999999999998,1.717185e-07,12973.60398689312,Hopping,Ohmic,4.0,2.2,3,,,50W_60min_RTA300C
50.0,60.0,400.0,1,,,,,,,0.1,2,,,50W_60min_RTA400C
50.0,120.0,25.0,0,0.06,2.65241e-05,7.542935499340608,Schottky Emission,Ohmic,113.0,0.0999999999999999,1,,,50W_120min_NoRTA25C
50.0,120.0,400.0,1,0.2,0.000348254,1.509671102126609,Ohmic,Ohmic,1.0,2.2,1,30.0,1.0,50W_120min_RTA400C
75.0,30.0,25.0,0,0.16,0.000396286,1.4967620806290087,Ohmic,Ohmic,3.0,0.8999999999999999,3,,,75W_30min_NoRTA25C
75.0,30.0,300.0,1,0.18,1.96545e-08,40199.457454702984,Poole-Frenkel,Ohmic,2.0,1.4000000000000001,2,,,75W_30min_RTA300C
75.0,30.0,400.0,1,0.135,7.040165e-05,32.32591710091514,Schottky Emission,Ohmic,2.0,1.5,2,50.0,1.0,75W_30min_RTA400C
75.0,60.0,25.0,0,0.15,4.08904e-05,17.987253731927296,Schottky Emission,Ohmic,5.0,2.7,3,30.0,1.0,75W_60min_NoRTA25C
75.0,60.0,300.0,1,0.18,5.3e-08,18745.283018867925,Hopping,Ohmic,2.0,2.6,2,,,75W_60min_RTA300C
75.0,60.0,400.0,1,,,,,,,1.8,1,,,75W_60min_RTA400C
75.0,120.0,25.0,0,0.15,0.000373016,1.164240874803827,Ohmic,Ohmic,5.0,0.0999999999999999,4,50.0,1.0,75W_120min_NoRTA25C
75.0,120.0,300.0,1,0.435,0.00038649284999999996,1.2076304833970062,Ohmic,Ohmic,2.0,0.1,3,,,75W_120min_RTA300C
75.0,120.0,400.0,1,0.24,0.000208951,2.743925609353389,Ohmic,Ohmic,1.0,0.1,1,,,75W_120min_RTA400C
