rf_power_w,process_time_min,rta_condition,rta_temp_c,curve_count,on_off_log10_median,leakage_median_a,operation_voltage_median_v,endurance_cycles,score_on_off,score_leakage,score_endurance,endurance_data_available,sweet_spot_score
75.0,30.0,400C,400.0,52,0.01602259597076308,2.2099749999999998e-05,0.6,50.0,0.0018584975761597325,0.32938594808207244,0.9523809523809523,True,0.3541237189544273
50.0,60.0,as_deposited,,79,0.0074958307824406255,0.0006964860000000001,0.16,51.0,0.0,0.0,1.0,True,0.25
75.0,120.0,as_deposited,,55,0.008388537233041327,0.0006549850000000001,0.16999999999999998,50.0,0.000194574699551445,0.0058646725733332294,0.9523809523809523,True,0.2402257033757253
75.0,30.0,300C,300.0,2,4.595484159474028,1.96545e-08,0.18,,1.0,1.0,0.0,False,0.1875
75.0,60.0,300C,300.0,2,4.272892001845045,5.3e-08,0.18,,0.9296876682070854,0.9053041944646897,0.0,False,0.17218288383636887
50.0,60.0,300C,300.0,4,3.901861517792422,1.717185e-07,0.16999999999999998,,0.8488176969971903,0.7930837782214594,0.0,False,0.15427660029409673
50.0,30.0,300C,300.0,3,1.3426732090705442,4.39083e-05,0.15,,0.2910158619930214,0.26384852347592813,0.0,False,0.052188332003445845
50.0,120.0,as_deposited,,113,0.8775403940210983,2.6524100000000002e-05,0.06,,0.18963530438770296,0.31196553705109586,0.0,False,0.04626051493074118
50.0,30.0,as_deposited,,4,0.6664725396775363,0.000174337,0.135,,0.14363085990740176,0.1322187893212018,0.0,False,0.025932230056345332
75.0,120.0,400C,400.0,1,0.4383723330240477,0.000208951,0.24,,0.09391403625572985,0.1149299129025888,0.0,False,0.019447771004549506
50.0,30.0,400C,400.0,4,0.6065676670712234,0.0003671305,0.12,,0.13057396692629064,0.06112648813909494,0.0,False,0.01840596440479987
75.0,60.0,as_deposited,,35,0.01617351042934759,0.000552894,0.2,30.0,0.0018913909594407549,0.022040137931152892,0.0,True,0.008470604659679814
75.0,30.0,as_deposited,,3,0.17515277209872693,0.00039628600000000003,0.16,,0.03654258234874348,0.05383148297990037,0.0,False,0.008364512995615631
50.0,120.0,400C,400.0,31,0.013807372580037664,0.000568708,0.2,30.0,0.0013756664894125784,0.019348063186731213,0.0,True,0.0073220887111209556
75.0,120.0,300C,300.0,2,0.0772094313690612,0.00038649284999999996,0.435,,0.015194807744095037,0.05622018159041675,0.0,False,0.006438746663570969
